Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
statStrengthLevel09LongDesc,progression,Attribute,,,Regular exercise but not intensive; can perform tasks like moving furniture with some effort.,,,,,,,,,,,,,
statStrengthLevel010,progression,Attribute,,,Average Strength,,,,,,,,,,,,,
statStrengthLevel010LongDesc,progression,Attribute,,,Typical strength of an average adult who does routine tasks and occasional light exercises.,,,,,,,,,,,,,
statStrengthLevel011,progression,Attribute,,,Above Average,,,,,,,,,,,,,
statStrengthLevel011LongDesc,progression,Attribute,,,Engages in regular exercise and possibly some strength training.,,,,,,,,,,,,,
statStrengthLevel012,progression,Attribute,,,Toned,,,,,,,,,,,,,
statStrengthLevel012LongDesc,progression,Attribute,,,Regular physical activity with visible muscle definition.,,,,,,,,,,,,,
statStrengthLevel013,progression,Attribute,,,Regular Training,,,,,,,,,,,,,
statStrengthLevel013LongDesc,progression,Attribute,,,Works out several times a week,,,,,,,,,,,,,
statStrengthLevel014,progression,Attribute,,,Advanced Training,,,,,,,,,,,,,
statStrengthLevel014LongDesc,progression,Attribute,,,Follows a rigorous fitness routine; has significantly improved strength.,,,,,,,,,,,,,
statStrengthLevel015,progression,Attribute,,,Athlete,,,,,,,,,,,,,
statStrengthLevel015LongDesc,progression,Attribute,,,Engages in competitive sports; has specialized training depending on the sport.,,,,,,,,,,,,,
statStrengthLevel016,progression,Attribute,,,Elite Athlete,,,,,,,,,,,,,
statStrengthLevel016LongDesc,progression,Attribute,,,Among the top athletes in a specific sport; dedicated training.,,,,,,,,,,,,,
statStrengthLevel017,progression,Attribute,,,Strength Training Enthusiast,,,,,,,,,,,,,
statStrengthLevel017LongDesc,progression,Attribute,,,Prioritizes strength in their workouts; lifts weights heavier than most.,,,,,,,,,,,,,
statStrengthLevel018,progression,Attribute,,,Amateur Weightlifter,,,,,,,,,,,,,
statStrengthLevel018LongDesc,progression,Attribute,,,Engages in weightlifting or bodybuilding at an amateur level.,,,,,,,,,,,,,
statStrengthLevel019,progression,Attribute,,,Competitive Weightlifter,,,,,,,,,,,,,
statStrengthLevel019LongDesc,progression,Attribute,,,Competes in weightlifting events at a regional or national level.,,,,,,,,,,,,,
statStrengthLevel020,progression,Attribute,,,Professional Athlete,,,,,,,,,,,,,
statStrengthLevel020LongDesc,progression,Attribute,,,Engages in strength-based sports at a professional level.,,,,,,,,,,,,,
statStrengthLevel021,progression,Attribute,,,Elite Powerlifter,,,,,,,,,,,,,
statStrengthLevel021LongDesc,progression,Attribute,,,Competes at high levels in powerlifting events.,,,,,,,,,,,,,
statStrengthLevel022,progression,Attribute,,,Strongman/Woman Competitor,,,,,,,,,,,,,
statStrengthLevel022LongDesc,progression,Attribute,,,Participates in Strongman or Strongwoman competitions.,,,,,,,,,,,,,
statStrengthLevel023,progression,Attribute,,,Top Tier Powerlifter,,,,,,,,,,,,,
statStrengthLevel023LongDesc,progression,Attribute,,,Among the top powerlifters in their category.,,,,,,,,,,,,,
statStrengthLevel024,progression,Attribute,,,National Champion,,,,,,,,,,,,,
statStrengthLevel024LongDesc,progression,Attribute,,,Holds a national title in a strength sport.,,,,,,,,,,,,,
statStrengthLevel025,progression,Attribute,,,World Championship Competitor,,,,,,,,,,,,,
statStrengthLevel025LongDesc,progression,Attribute,,,Competes in world-level strength events.,,,,,,,,,,,,,
statStrengthLevel026,progression,Attribute,,,Strongman/Woman Winner,,,,,,,,,,,,,
statStrengthLevel026LongDesc,progression,Attribute,,,Wins major Strongman or Strongwoman competitions.,,,,,,,,,,,,,
statStrengthLevel027,progression,Attribute,,,World Record Contender,,,,,,,,,,,,,
statStrengthLevel027LongDesc,progression,Attribute,,,Close to or has attempted world records in strength sports.,,,,,,,,,,,,,
statStrengthLevel028,progression,Attribute,,,World Record Holder,,,,,,,,,,,,,
statStrengthLevel028LongDesc,progression,Attribute,,,Holds world records in a specific strength discipline.,,,,,,,,,,,,,
statStrengthLevel029,progression,Attribute,,,World's Strongest Person Contender,,,,,,,,,,,,,
statStrengthLevel029LongDesc,progression,Attribute,,,Consistently ranks among the top contenders for the title.,,,,,,,,,,,,,
statStrengthLevel030,progression,Attribute,,,World's Strongest Person,,,,,,,,,,,,,
statStrengthLevel030LongDesc,progression,Attribute,,,Recognized as the strongest human alive based on competitive achievements.,,,,,,,,,,,,,
statDexterityLevel01,progression,Attribute,,,Drop Master,,,,,,,,,,,,,
statDexterityLevel01LongDesc,progression,Attribute,,,Gravitational pull seems stronger around them.,,,,,,,,,,,,,
statDexterityLevel02,progression,Attribute,,,Stumble Specialist,,,,,,,,,,,,,
statDexterityLevel02LongDesc,progression,Attribute,,,Has a personal relationship with every floor.,,,,,,,,,,,,,
statDexterityLevel03,progression,Attribute,,,Slip Sleuth,,,,,,,,,,,,,
statDexterityLevel03LongDesc,progression,Attribute,,,Finds every possible slippery spot.,,,,,,,,,,,,,
statDexterityLevel04,progression,Attribute,,,Fumble Fanatic,,,,,,,,,,,,,
statDexterityLevel04LongDesc,progression,Attribute,,,Hands have a non-stick surface.,,,,,,,,,,,,,
statDexterityLevel05,progression,Attribute,,,Tangle Trainee,,,,,,,,,,,,,
statDexterityLevel05LongDesc,progression,Attribute,,,Shoelaces and headphone cords conspire against them.,,,,,,,,,,,,,
statDexterityLevel06,progression,Attribute,,,Tiptoe Teeterer,,,,,,,,,,,,,
statDexterityLevel06LongDesc,progression,Attribute,,,Walks as if the ground is an ever-shifting puzzle.,,,,,,,,,,,,,
statDexterityLevel07,progression,Attribute,,,Jittery Juggler,,,,,,,,,,,,,
statDexterityLevel07LongDesc,progression,Attribute,,,Can hold onto things...briefly.,,,,,,,,,,,,,
statDexterityLevel08,progression,Attribute,,,Wobble Warrior,,,,,,,,,,,,,
statDexterityLevel08LongDesc,progression,Attribute,,,Stability is a work in progress.,,,,,,,,,,,,,
statDexterityLevel09,progression,Attribute,,,Mishap Maven,,,,,,,,,,,,,
statDexterityLevel09LongDesc,progression,Attribute,,,Improving but surprises still lurk at every corner.,,,,,,,,,,,,,
statDexterityLevel010,progression,Attribute,,,Everyday Equilibrist,,,,,,,,,,,,,
statDexterityLevel010LongDesc,progression,Attribute,,,The baseline of human dexterity.,,,,,,,,,,,,,
statDexterityLevel011,progression,Attribute,,,Balanced Buddy,,,,,,,,,,,,,
statDexterityLevel011LongDesc,progression,Attribute,,,Fewer spills more thrills.,,,,,,,,,,,,,
statDexterityLevel012,progression,Attribute,,,Stable Star,,,,,,,,,,,,,
statDexterityLevel012LongDesc,progression,Attribute,,,Keeps coffee inside the mug more mornings than not.,,,,,,,,,,,,,
statDexterityLevel013,progression,Attribute,,,Grasp Guru,,,,,,,,,,,,,
statDexterityLevel013LongDesc,progression,Attribute,,,Getting a grip literally.,,,,,,,,,,,,,
statDexterityLevel014,progression,Attribute,,,Poised Pro,,,,,,,,,,,,,
statDexterityLevel014LongDesc,progression,Attribute,,,Walking becomes more glide less slide.,,,,,,,,,,,,,
statDexterityLevel015,progression,Attribute,,,Agile Ace,,,,,,,,,,,,,
statDexterityLevel015LongDesc,progression,Attribute,,,Can navigate a cluttered room without disaster.,,,,,,,,,,,,,
statDexterityLevel016,progression,Attribute,,,Nimble Nomad,,,,,,,,,,,,,
statDexterityLevel016LongDesc,progression,Attribute,,,Moves with purpose and surprisingly fewer accidents.,,,,,,,,,,,,,
statDexterityLevel017,progression,Attribute,,,Quick-Stepped,,,,,,,,,,,,,
statDexterityLevel017LongDesc,progression,Attribute,,,Fluid motions with occasional flair.,,,,,,,,,,,,,
statDexterityLevel018,progression,Attribute,,,Slick Stepper,,,,,,,,,,,,,
statDexterityLevel018LongDesc,progression,Attribute,,,Balance beam? More like a casual walk.,,,,,,,,,,,,,
statDexterityLevel019,progression,Attribute,,,Dodge Dynamo,,,,,,,,,,,,,
